,image,mask
7154,images2\04689.png,labels2\04689.png
21463,images8\18998.png,labels8\18998.png
16997,images6\14532.png,labels6\14532.png
14563,images5\12098.png,labels5\12098.png
7622,images3\05157.png,labels3\05157.png
23920,images9\21455.png,labels9\21455.png
4211,images10\24212.png,labels10\24212.png
15320,images6\12855.png,labels6\12855.png
22042,images8\19577.png,labels8\19577.png
12911,images5\10446.png,labels5\10446.png
16359,images6\13894.png,labels6\13894.png
14891,images5\12426.png,labels5\12426.png
6678,images2\04213.png,labels2\04213.png
805,images1\00806.png,labels1\00806.png
2418,images1\02419.png,labels1\02419.png
5716,images2\03251.png,labels2\03251.png
15516,images6\13051.png,labels6\13051.png
728,images1\00729.png,labels1\00729.png
16650,images6\14185.png,labels6\14185.png
11019,images4\08554.png,labels4\08554.png
18059,images7\15594.png,labels7\15594.png
18419,images7\15954.png,labels7\15954.png
18252,images7\15787.png,labels7\15787.png
19136,images7\16671.png,labels7\16671.png
330,images1\00331.png,labels1\00331.png
17071,images6\14606.png,labels6\14606.png
22027,images8\19562.png,labels8\19562.png
24756,images9\22291.png,labels9\22291.png
17256,images6\14791.png,labels6\14791.png
162,images1\00163.png,labels1\00163.png
3130,images10\23131.png,labels10\23131.png
3070,images10\23071.png,labels10\23071.png
15035,images6\12570.png,labels6\12570.png
10959,images4\08494.png,labels4\08494.png
8036,images3\05571.png,labels3\05571.png
12554,images5\10089.png,labels5\10089.png
23134,images9\20669.png,labels9\20669.png
23824,images9\21359.png,labels9\21359.png
1825,images1\01826.png,labels1\01826.png
24106,images9\21641.png,labels9\21641.png
23027,images9\20562.png,labels9\20562.png
10864,images4\08399.png,labels4\08399.png
12645,images5\10180.png,labels5\10180.png
1081,images1\01082.png,labels1\01082.png
13651,images5\11186.png,labels5\11186.png
3872,images10\23873.png,labels10\23873.png
5380,images2\02915.png,labels2\02915.png
4824,images10\24825.png,labels10\24825.png
21354,images8\18889.png,labels8\18889.png
20694,images8\18229.png,labels8\18229.png
6249,images2\03784.png,labels2\03784.png
18548,images7\16083.png,labels7\16083.png
15814,images6\13349.png,labels6\13349.png
13083,images5\10618.png,labels5\10618.png
1608,images1\01609.png,labels1\01609.png
16734,images6\14269.png,labels6\14269.png
18718,images7\16253.png,labels7\16253.png
7582,images3\05117.png,labels3\05117.png
17937,images7\15472.png,labels7\15472.png
21935,images8\19470.png,labels8\19470.png
13551,images5\11086.png,labels5\11086.png
19633,images7\17168.png,labels7\17168.png
9218,images3\06753.png,labels3\06753.png
8270,images3\05805.png,labels3\05805.png
21687,images8\19222.png,labels8\19222.png
24019,images9\21554.png,labels9\21554.png
13731,images5\11266.png,labels5\11266.png
9553,images3\07088.png,labels3\07088.png
17579,images7\15114.png,labels7\15114.png
17389,images6\14924.png,labels6\14924.png
17174,images6\14709.png,labels6\14709.png
21611,images8\19146.png,labels8\19146.png
3623,images10\23624.png,labels10\23624.png
24918,images9\22453.png,labels9\22453.png
19104,images7\16639.png,labels7\16639.png
14737,images5\12272.png,labels5\12272.png
9131,images3\06666.png,labels3\06666.png
17707,images7\15242.png,labels7\15242.png
15929,images6\13464.png,labels6\13464.png
10158,images4\07693.png,labels4\07693.png
21778,images8\19313.png,labels8\19313.png
1108,images1\01109.png,labels1\01109.png
3703,images10\23704.png,labels10\23704.png
4750,images10\24751.png,labels10\24751.png
13289,images5\10824.png,labels5\10824.png
12228,images4\09763.png,labels4\09763.png
2981,images10\22982.png,labels10\22982.png
24250,images9\21785.png,labels9\21785.png
3326,images10\23327.png,labels10\23327.png
4917,images10\24918.png,labels10\24918.png
17252,images6\14787.png,labels6\14787.png
19580,images7\17115.png,labels7\17115.png
6395,images2\03930.png,labels2\03930.png
14472,images5\12007.png,labels5\12007.png
20431,images8\17966.png,labels8\17966.png
17275,images6\14810.png,labels6\14810.png
5252,images2\02787.png,labels2\02787.png
21704,images8\19239.png,labels8\19239.png
4044,images10\24045.png,labels10\24045.png
9867,images3\07402.png,labels3\07402.png
6588,images2\04123.png,labels2\04123.png
18646,images7\16181.png,labels7\16181.png
18653,images7\16188.png,labels7\16188.png
16203,images6\13738.png,labels6\13738.png
15367,images6\12902.png,labels6\12902.png
2648,images10\22649.png,labels10\22649.png
15624,images6\13159.png,labels6\13159.png
14653,images5\12188.png,labels5\12188.png
17165,images6\14700.png,labels6\14700.png
24440,images9\21975.png,labels9\21975.png
11118,images4\08653.png,labels4\08653.png
2403,images1\02404.png,labels1\02404.png
23475,images9\21010.png,labels9\21010.png
11756,images4\09291.png,labels4\09291.png
11206,images4\08741.png,labels4\08741.png
24644,images9\22179.png,labels9\22179.png
4065,images10\24066.png,labels10\24066.png
17017,images6\14552.png,labels6\14552.png
12463,images4\09998.png,labels4\09998.png
4843,images10\24844.png,labels10\24844.png
20470,images8\18005.png,labels8\18005.png
12304,images4\09839.png,labels4\09839.png
24407,images9\21942.png,labels9\21942.png
17211,images6\14746.png,labels6\14746.png
21260,images8\18795.png,labels8\18795.png
24041,images9\21576.png,labels9\21576.png
1878,images1\01879.png,labels1\01879.png
613,images1\00614.png,labels1\00614.png
22540,images9\20075.png,labels9\20075.png
24397,images9\21932.png,labels9\21932.png
16324,images6\13859.png,labels6\13859.png
10838,images4\08373.png,labels4\08373.png
18167,images7\15702.png,labels7\15702.png
15707,images6\13242.png,labels6\13242.png
6075,images2\03610.png,labels2\03610.png
6147,images2\03682.png,labels2\03682.png
14569,images5\12104.png,labels5\12104.png
3578,images10\23579.png,labels10\23579.png
3545,images10\23546.png,labels10\23546.png
9891,images3\07426.png,labels3\07426.png
20180,images8\17715.png,labels8\17715.png
11716,images4\09251.png,labels4\09251.png
8404,images3\05939.png,labels3\05939.png
12182,images4\09717.png,labels4\09717.png
8935,images3\06470.png,labels3\06470.png
20594,images8\18129.png,labels8\18129.png
2892,images10\22893.png,labels10\22893.png
375,images1\00376.png,labels1\00376.png
17112,images6\14647.png,labels6\14647.png
6966,images2\04501.png,labels2\04501.png
2881,images10\22882.png,labels10\22882.png
12075,images4\09610.png,labels4\09610.png
10986,images4\08521.png,labels4\08521.png
3978,images10\23979.png,labels10\23979.png
22384,images8\19919.png,labels8\19919.png
12622,images5\10157.png,labels5\10157.png
13037,images5\10572.png,labels5\10572.png
5071,images2\02606.png,labels2\02606.png
22226,images8\19761.png,labels8\19761.png
3643,images10\23644.png,labels10\23644.png
6300,images2\03835.png,labels2\03835.png
3527,images10\23528.png,labels10\23528.png
11514,images4\09049.png,labels4\09049.png
19746,images7\17281.png,labels7\17281.png
3314,images10\23315.png,labels10\23315.png
20797,images8\18332.png,labels8\18332.png
21459,images8\18994.png,labels8\18994.png
19559,images7\17094.png,labels7\17094.png
13885,images5\11420.png,labels5\11420.png
6906,images2\04441.png,labels2\04441.png
12957,images5\10492.png,labels5\10492.png
13745,images5\11280.png,labels5\11280.png
2328,images1\02329.png,labels1\02329.png
21466,images8\19001.png,labels8\19001.png
18096,images7\15631.png,labels7\15631.png
18869,images7\16404.png,labels7\16404.png
21539,images8\19074.png,labels8\19074.png
10184,images4\07719.png,labels4\07719.png
4985,images2\02520.png,labels2\02520.png
21566,images8\19101.png,labels8\19101.png
3889,images10\23890.png,labels10\23890.png
16333,images6\13868.png,labels6\13868.png
8436,images3\05971.png,labels3\05971.png
10194,images4\07729.png,labels4\07729.png
23089,images9\20624.png,labels9\20624.png
22434,images8\19969.png,labels8\19969.png
6326,images2\03861.png,labels2\03861.png
19540,images7\17075.png,labels7\17075.png
12820,images5\10355.png,labels5\10355.png
18102,images7\15637.png,labels7\15637.png
7733,images3\05268.png,labels3\05268.png
6600,images2\04135.png,labels2\04135.png
4480,images10\24481.png,labels10\24481.png
11887,images4\09422.png,labels4\09422.png
4755,images10\24756.png,labels10\24756.png
14964,images5\12499.png,labels5\12499.png
7402,images2\04937.png,labels2\04937.png
24909,images9\22444.png,labels9\22444.png
654,images1\00655.png,labels1\00655.png
19658,images7\17193.png,labels7\17193.png
18672,images7\16207.png,labels7\16207.png
4330,images10\24331.png,labels10\24331.png
16946,images6\14481.png,labels6\14481.png
7737,images3\05272.png,labels3\05272.png
20478,images8\18013.png,labels8\18013.png
2007,images1\02008.png,labels1\02008.png
23909,images9\21444.png,labels9\21444.png
15805,images6\13340.png,labels6\13340.png
20218,images8\17753.png,labels8\17753.png
11397,images4\08932.png,labels4\08932.png
2036,images1\02037.png,labels1\02037.png
18173,images7\15708.png,labels7\15708.png
9814,images3\07349.png,labels3\07349.png
21928,images8\19463.png,labels8\19463.png
19365,images7\16900.png,labels7\16900.png
7155,images2\04690.png,labels2\04690.png
8113,images3\05648.png,labels3\05648.png
11381,images4\08916.png,labels4\08916.png
21,images1\00022.png,labels1\00022.png
10708,images4\08243.png,labels4\08243.png
16354,images6\13889.png,labels6\13889.png
14593,images5\12128.png,labels5\12128.png
4888,images10\24889.png,labels10\24889.png
12541,images5\10076.png,labels5\10076.png
12954,images5\10489.png,labels5\10489.png
10906,images4\08441.png,labels4\08441.png
8410,images3\05945.png,labels3\05945.png
17901,images7\15436.png,labels7\15436.png
7614,images3\05149.png,labels3\05149.png
5699,images2\03234.png,labels2\03234.png
2339,images1\02340.png,labels1\02340.png
16850,images6\14385.png,labels6\14385.png
18266,images7\15801.png,labels7\15801.png
7127,images2\04662.png,labels2\04662.png
12026,images4\09561.png,labels4\09561.png
10335,images4\07870.png,labels4\07870.png
20805,images8\18340.png,labels8\18340.png
1252,images1\01253.png,labels1\01253.png
8291,images3\05826.png,labels3\05826.png
7764,images3\05299.png,labels3\05299.png
17896,images7\15431.png,labels7\15431.png
14707,images5\12242.png,labels5\12242.png
21847,images8\19382.png,labels8\19382.png
12353,images4\09888.png,labels4\09888.png
14764,images5\12299.png,labels5\12299.png
5408,images2\02943.png,labels2\02943.png
922,images1\00923.png,labels1\00923.png
3090,images10\23091.png,labels10\23091.png
7166,images2\04701.png,labels2\04701.png
4882,images10\24883.png,labels10\24883.png
18117,images7\15652.png,labels7\15652.png
2369,images1\02370.png,labels1\02370.png
6417,images2\03952.png,labels2\03952.png
10007,images4\07542.png,labels4\07542.png
16070,images6\13605.png,labels6\13605.png
24663,images9\22198.png,labels9\22198.png
793,images1\00794.png,labels1\00794.png
652,images1\00653.png,labels1\00653.png
866,images1\00867.png,labels1\00867.png
15873,images6\13408.png,labels6\13408.png
10950,images4\08485.png,labels4\08485.png
14912,images5\12447.png,labels5\12447.png
16130,images6\13665.png,labels6\13665.png
4183,images10\24184.png,labels10\24184.png
12621,images5\10156.png,labels5\10156.png
10089,images4\07624.png,labels4\07624.png
20841,images8\18376.png,labels8\18376.png
7676,images3\05211.png,labels3\05211.png
21284,images8\18819.png,labels8\18819.png
19196,images7\16731.png,labels7\16731.png
743,images1\00744.png,labels1\00744.png
7388,images2\04923.png,labels2\04923.png
12511,images5\10046.png,labels5\10046.png
8596,images3\06131.png,labels3\06131.png
10752,images4\08287.png,labels4\08287.png
10560,images4\08095.png,labels4\08095.png
12072,images4\09607.png,labels4\09607.png
6187,images2\03722.png,labels2\03722.png
12453,images4\09988.png,labels4\09988.png
3455,images10\23456.png,labels10\23456.png
11976,images4\09511.png,labels4\09511.png
293,images1\00294.png,labels1\00294.png
12387,images4\09922.png,labels4\09922.png
19677,images7\17212.png,labels7\17212.png
11507,images4\09042.png,labels4\09042.png
19853,images7\17388.png,labels7\17388.png
8646,images3\06181.png,labels3\06181.png
3653,images10\23654.png,labels10\23654.png
6268,images2\03803.png,labels2\03803.png
20894,images8\18429.png,labels8\18429.png
3225,images10\23226.png,labels10\23226.png
3972,images10\23973.png,labels10\23973.png
18018,images7\15553.png,labels7\15553.png
5438,images2\02973.png,labels2\02973.png
9251,images3\06786.png,labels3\06786.png
13284,images5\10819.png,labels5\10819.png
24077,images9\21612.png,labels9\21612.png
3716,images10\23717.png,labels10\23717.png
23196,images9\20731.png,labels9\20731.png
10383,images4\07918.png,labels4\07918.png
6482,images2\04017.png,labels2\04017.png
23461,images9\20996.png,labels9\20996.png
10428,images4\07963.png,labels4\07963.png
9592,images3\07127.png,labels3\07127.png
23866,images9\21401.png,labels9\21401.png
15254,images6\12789.png,labels6\12789.png
15259,images6\12794.png,labels6\12794.png
14821,images5\12356.png,labels5\12356.png
797,images1\00798.png,labels1\00798.png
5489,images2\03024.png,labels2\03024.png
4930,images10\24931.png,labels10\24931.png
18529,images7\16064.png,labels7\16064.png
16643,images6\14178.png,labels6\14178.png
16282,images6\13817.png,labels6\13817.png
1877,images1\01878.png,labels1\01878.png
3346,images10\23347.png,labels10\23347.png
16114,images6\13649.png,labels6\13649.png
2540,images10\22541.png,labels10\22541.png
9098,images3\06633.png,labels3\06633.png
4131,images10\24132.png,labels10\24132.png
14799,images5\12334.png,labels5\12334.png
14426,images5\11961.png,labels5\11961.png
17842,images7\15377.png,labels7\15377.png
10162,images4\07697.png,labels4\07697.png
12342,images4\09877.png,labels4\09877.png
16397,images6\13932.png,labels6\13932.png
2640,images10\22641.png,labels10\22641.png
24707,images9\22242.png,labels9\22242.png
12055,images4\09590.png,labels4\09590.png
10076,images4\07611.png,labels4\07611.png
15650,images6\13185.png,labels6\13185.png
10997,images4\08532.png,labels4\08532.png
6451,images2\03986.png,labels2\03986.png
9608,images3\07143.png,labels3\07143.png
12832,images5\10367.png,labels5\10367.png
7538,images3\05073.png,labels3\05073.png
9334,images3\06869.png,labels3\06869.png
1865,images1\01866.png,labels1\01866.png
5678,images2\03213.png,labels2\03213.png
13700,images5\11235.png,labels5\11235.png
15276,images6\12811.png,labels6\12811.png
21448,images8\18983.png,labels8\18983.png
23567,images9\21102.png,labels9\21102.png
4923,images10\24924.png,labels10\24924.png
22429,images8\19964.png,labels8\19964.png
17207,images6\14742.png,labels6\14742.png
11032,images4\08567.png,labels4\08567.png
23593,images9\21128.png,labels9\21128.png
16898,images6\14433.png,labels6\14433.png
23466,images9\21001.png,labels9\21001.png
4740,images10\24741.png,labels10\24741.png
5268,images2\02803.png,labels2\02803.png
912,images1\00913.png,labels1\00913.png
11086,images4\08621.png,labels4\08621.png
5198,images2\02733.png,labels2\02733.png
11243,images4\08778.png,labels4\08778.png
12715,images5\10250.png,labels5\10250.png
7051,images2\04586.png,labels2\04586.png
16150,images6\13685.png,labels6\13685.png
21262,images8\18797.png,labels8\18797.png
5541,images2\03076.png,labels2\03076.png
24615,images9\22150.png,labels9\22150.png
21281,images8\18816.png,labels8\18816.png
23914,images9\21449.png,labels9\21449.png
4857,images10\24858.png,labels10\24858.png
4083,images10\24084.png,labels10\24084.png
3305,images10\23306.png,labels10\23306.png
20791,images8\18326.png,labels8\18326.png
16145,images6\13680.png,labels6\13680.png
18034,images7\15569.png,labels7\15569.png
24393,images9\21928.png,labels9\21928.png
22979,images9\20514.png,labels9\20514.png
24239,images9\21774.png,labels9\21774.png
14410,images5\11945.png,labels5\11945.png
8526,images3\06061.png,labels3\06061.png
24101,images9\21636.png,labels9\21636.png
16741,images6\14276.png,labels6\14276.png
10190,images4\07725.png,labels4\07725.png
310,images1\00311.png,labels1\00311.png
4419,images10\24420.png,labels10\24420.png
9315,images3\06850.png,labels3\06850.png
21410,images8\18945.png,labels8\18945.png
5949,images2\03484.png,labels2\03484.png
1335,images1\01336.png,labels1\01336.png
23241,images9\20776.png,labels9\20776.png
10844,images4\08379.png,labels4\08379.png
1701,images1\01702.png,labels1\01702.png
22498,images9\20033.png,labels9\20033.png
18742,images7\16277.png,labels7\16277.png
20069,images8\17604.png,labels8\17604.png
7599,images3\05134.png,labels3\05134.png
18365,images7\15900.png,labels7\15900.png
18569,images7\16104.png,labels7\16104.png
9238,images3\06773.png,labels3\06773.png
14336,images5\11871.png,labels5\11871.png
16625,images6\14160.png,labels6\14160.png
12184,images4\09719.png,labels4\09719.png
9478,images3\07013.png,labels3\07013.png
2873,images10\22874.png,labels10\22874.png
133,images1\00134.png,labels1\00134.png
14244,images5\11779.png,labels5\11779.png
17529,images7\15064.png,labels7\15064.png
13655,images5\11190.png,labels5\11190.png
1655,images1\01656.png,labels1\01656.png
13978,images5\11513.png,labels5\11513.png
1429,images1\01430.png,labels1\01430.png
10490,images4\08025.png,labels4\08025.png
24002,images9\21537.png,labels9\21537.png
7644,images3\05179.png,labels3\05179.png
14093,images5\11628.png,labels5\11628.png
8854,images3\06389.png,labels3\06389.png
2064,images1\02065.png,labels1\02065.png
4629,images10\24630.png,labels10\24630.png
5495,images2\03030.png,labels2\03030.png
7815,images3\05350.png,labels3\05350.png
9271,images3\06806.png,labels3\06806.png
22969,images9\20504.png,labels9\20504.png
5907,images2\03442.png,labels2\03442.png
14642,images5\12177.png,labels5\12177.png
893,images1\00894.png,labels1\00894.png
20576,images8\18111.png,labels8\18111.png
23359,images9\20894.png,labels9\20894.png
18471,images7\16006.png,labels7\16006.png
14732,images5\12267.png,labels5\12267.png
8974,images3\06509.png,labels3\06509.png
5826,images2\03361.png,labels2\03361.png
5728,images2\03263.png,labels2\03263.png
6207,images2\03742.png,labels2\03742.png
21145,images8\18680.png,labels8\18680.png
12514,images5\10049.png,labels5\10049.png
4112,images10\24113.png,labels10\24113.png
23243,images9\20778.png,labels9\20778.png
1857,images1\01858.png,labels1\01858.png
23960,images9\21495.png,labels9\21495.png
6758,images2\04293.png,labels2\04293.png
2741,images10\22742.png,labels10\22742.png
21457,images8\18992.png,labels8\18992.png
15209,images6\12744.png,labels6\12744.png
23114,images9\20649.png,labels9\20649.png
17892,images7\15427.png,labels7\15427.png
13035,images5\10570.png,labels5\10570.png
22544,images9\20079.png,labels9\20079.png
11285,images4\08820.png,labels4\08820.png
15070,images6\12605.png,labels6\12605.png
13432,images5\10967.png,labels5\10967.png
15074,images6\12609.png,labels6\12609.png
12678,images5\10213.png,labels5\10213.png
2856,images10\22857.png,labels10\22857.png
2034,images1\02035.png,labels1\02035.png
24796,images9\22331.png,labels9\22331.png
1604,images1\01605.png,labels1\01605.png
9318,images3\06853.png,labels3\06853.png
14181,images5\11716.png,labels5\11716.png
14924,images5\12459.png,labels5\12459.png
3016,images10\23017.png,labels10\23017.png
15421,images6\12956.png,labels6\12956.png
8884,images3\06419.png,labels3\06419.png
7333,images2\04868.png,labels2\04868.png
9733,images3\07268.png,labels3\07268.png
9157,images3\06692.png,labels3\06692.png
3912,images10\23913.png,labels10\23913.png
2569,images10\22570.png,labels10\22570.png
23568,images9\21103.png,labels9\21103.png
4789,images10\24790.png,labels10\24790.png
6779,images2\04314.png,labels2\04314.png
420,images1\00421.png,labels1\00421.png
13428,images5\10963.png,labels5\10963.png
24326,images9\21861.png,labels9\21861.png
1417,images1\01418.png,labels1\01418.png
643,images1\00644.png,labels1\00644.png
18602,images7\16137.png,labels7\16137.png
16295,images6\13830.png,labels6\13830.png
4416,images10\24417.png,labels10\24417.png
3807,images10\23808.png,labels10\23808.png
24088,images9\21623.png,labels9\21623.png
7626,images3\05161.png,labels3\05161.png
24598,images9\22133.png,labels9\22133.png
20174,images8\17709.png,labels8\17709.png
2797,images10\22798.png,labels10\22798.png
15559,images6\13094.png,labels6\13094.png
15298,images6\12833.png,labels6\12833.png
20472,images8\18007.png,labels8\18007.png
12790,images5\10325.png,labels5\10325.png
5516,images2\03051.png,labels2\03051.png
13040,images5\10575.png,labels5\10575.png
10758,images4\08293.png,labels4\08293.png
17736,images7\15271.png,labels7\15271.png
13047,images5\10582.png,labels5\10582.png
23371,images9\20906.png,labels9\20906.png
15958,images6\13493.png,labels6\13493.png
4210,images10\24211.png,labels10\24211.png
24196,images9\21731.png,labels9\21731.png
4966,images2\02501.png,labels2\02501.png
19966,images8\17501.png,labels8\17501.png
17670,images7\15205.png,labels7\15205.png
13787,images5\11322.png,labels5\11322.png
6066,images2\03601.png,labels2\03601.png
18761,images7\16296.png,labels7\16296.png
18811,images7\16346.png,labels7\16346.png
18676,images7\16211.png,labels7\16211.png
7656,images3\05191.png,labels3\05191.png
1086,images1\01087.png,labels1\01087.png
12062,images4\09597.png,labels4\09597.png
19568,images7\17103.png,labels7\17103.png
14629,images5\12164.png,labels5\12164.png
20236,images8\17771.png,labels8\17771.png
5973,images2\03508.png,labels2\03508.png
17963,images7\15498.png,labels7\15498.png
15137,images6\12672.png,labels6\12672.png
20823,images8\18358.png,labels8\18358.png
5859,images2\03394.png,labels2\03394.png
1423,images1\01424.png,labels1\01424.png
22329,images8\19864.png,labels8\19864.png
22695,images9\20230.png,labels9\20230.png
12677,images5\10212.png,labels5\10212.png
17141,images6\14676.png,labels6\14676.png
11419,images4\08954.png,labels4\08954.png
23419,images9\20954.png,labels9\20954.png
7232,images2\04767.png,labels2\04767.png
3635,images10\23636.png,labels10\23636.png
12368,images4\09903.png,labels4\09903.png
18689,images7\16224.png,labels7\16224.png
7163,images2\04698.png,labels2\04698.png
23877,images9\21412.png,labels9\21412.png
9940,images3\07475.png,labels3\07475.png
20392,images8\17927.png,labels8\17927.png
16442,images6\13977.png,labels6\13977.png
5449,images2\02984.png,labels2\02984.png
12756,images5\10291.png,labels5\10291.png
12472,images5\10007.png,labels5\10007.png
22708,images9\20243.png,labels9\20243.png
3430,images10\23431.png,labels10\23431.png
7486,images3\05021.png,labels3\05021.png
15944,images6\13479.png,labels6\13479.png
9231,images3\06766.png,labels3\06766.png
9339,images3\06874.png,labels3\06874.png
15218,images6\12753.png,labels6\12753.png
10735,images4\08270.png,labels4\08270.png
14654,images5\12189.png,labels5\12189.png
7473,images3\05008.png,labels3\05008.png
22167,images8\19702.png,labels8\19702.png
18726,images7\16261.png,labels7\16261.png
20326,images8\17861.png,labels8\17861.png
14565,images5\12100.png,labels5\12100.png
22092,images8\19627.png,labels8\19627.png
7217,images2\04752.png,labels2\04752.png
6210,images2\03745.png,labels2\03745.png
14834,images5\12369.png,labels5\12369.png
264,images1\00265.png,labels1\00265.png
20445,images8\17980.png,labels8\17980.png
23715,images9\21250.png,labels9\21250.png
7718,images3\05253.png,labels3\05253.png
21074,images8\18609.png,labels8\18609.png
5474,images2\03009.png,labels2\03009.png
573,images1\00574.png,labels1\00574.png
22338,images8\19873.png,labels8\19873.png
21938,images8\19473.png,labels8\19473.png
6392,images2\03927.png,labels2\03927.png
16782,images6\14317.png,labels6\14317.png
4254,images10\24255.png,labels10\24255.png
16764,images6\14299.png,labels6\14299.png
9459,images3\06994.png,labels3\06994.png
9612,images3\07147.png,labels3\07147.png
3031,images10\23032.png,labels10\23032.png
22405,images8\19940.png,labels8\19940.png
7640,images3\05175.png,labels3\05175.png
18774,images7\16309.png,labels7\16309.png
584,images1\00585.png,labels1\00585.png
12610,images5\10145.png,labels5\10145.png
19093,images7\16628.png,labels7\16628.png
9768,images3\07303.png,labels3\07303.png
14635,images5\12170.png,labels5\12170.png
10489,images4\08024.png,labels4\08024.png
10975,images4\08510.png,labels4\08510.png
11133,images4\08668.png,labels4\08668.png
22821,images9\20356.png,labels9\20356.png
6578,images2\04113.png,labels2\04113.png
4895,images10\24896.png,labels10\24896.png
8610,images3\06145.png,labels3\06145.png
693,images1\00694.png,labels1\00694.png
6176,images2\03711.png,labels2\03711.png
14451,images5\11986.png,labels5\11986.png
20337,images8\17872.png,labels8\17872.png
17269,images6\14804.png,labels6\14804.png
4884,images10\24885.png,labels10\24885.png
21204,images8\18739.png,labels8\18739.png
22177,images8\19712.png,labels8\19712.png
17867,images7\15402.png,labels7\15402.png
1018,images1\01019.png,labels1\01019.png
13857,images5\11392.png,labels5\11392.png
10699,images4\08234.png,labels4\08234.png
19328,images7\16863.png,labels7\16863.png
